date,performance
2020-01-02,1.0
2020-01-03,1.0
2020-01-06,1.0
2020-01-07,1.0
2020-01-08,1.0
2020-01-09,1.0
2020-01-10,1.0
2020-01-13,1.0
2020-01-14,1.0
2020-01-15,1.0
2020-01-16,1.0
2020-01-17,1.0
2020-01-20,1.0
2020-01-21,1.0
2020-01-22,1.0
2020-01-30,1.0
2020-01-31,1.0
2020-02-03,1.0
2020-02-04,1.0
2020-02-05,1.0
2020-02-06,1.0
2020-02-07,1.0
2020-02-10,1.0
2020-02-11,1.0
2020-02-12,1.0
2020-02-13,1.0
2020-02-14,1.0
2020-02-17,1.0
2020-02-18,1.0
2020-02-19,1.0
2020-02-20,0.98298
2020-02-21,0.98298
2020-02-24,0.98298
2020-02-25,0.98298
2020-02-26,0.98298
2020-02-27,0.98298
2020-02-28,0.98298
2020-03-02,0.96136
2020-03-03,0.96136
2020-03-04,0.962608
2020-03-05,0.962608
2020-03-06,0.962608
2020-03-09,0.962608
2020-03-10,0.962608
2020-03-11,0.962608
2020-03-12,0.957652
2020-03-13,0.957652
2020-03-16,0.957652
2020-03-17,0.957652
2020-03-18,0.957652
2020-03-19,0.957652
2020-03-20,0.957652
2020-03-23,0.957652
2020-03-24,0.957652
2020-03-25,0.957652
2020-03-26,0.957652
2020-03-27,0.957652
2020-03-30,0.957652
2020-03-31,0.957652
2020-04-01,0.957652
2020-04-03,0.957652
2020-04-06,0.957652
2020-04-07,0.957652
2020-04-08,0.957652
2020-04-09,0.957652
2020-04-10,0.957652
2020-04-13,0.957652
2020-04-14,0.957652
2020-04-15,0.957652
2020-04-16,0.959667
2020-04-17,0.959667
2020-04-20,0.959667
2020-04-21,0.959667
2020-04-22,0.959667
2020-04-23,1.00793
2020-04-24,1.00793
2020-04-27,1.00793
2020-04-28,1.0351
2020-04-29,1.039884
2020-05-04,1.039884
2020-05-05,1.038701
2020-05-06,1.039585
2020-05-07,1.039585
2020-05-08,1.039585
2020-05-11,1.039585
2020-05-12,1.039585
2020-05-13,1.039585
2020-05-14,1.11153
2020-05-15,1.11153
2020-05-18,1.11153
2020-05-19,1.11153
