,ticker,quarter,year,priceToEarning,priceToBook,roe,roa,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,epsChange,assetOnEquity,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,bookValuePerShareChange,creditGrowth,industry,organName
0,SSI,Q3,2019,13.6,1.2,0.091,0.035,882,9831.0,,,,,,0.376,,,0.6,-0.112,2.7,,,,,,,,,1.6,,0.025,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán SSI
1,VIC,Q3,2019,76.2,5.3,0.082,0.017,1397,20213,,,,,,0.215,,,0.5,-0.021,4.6,,,,,,,,,1.8,,-0.044,,Bất động sản,Tập đoàn Vingroup - Công ty CP
2,VRE,Q3,2019,28.3,2.7,0.095,0.071,1169,12318,,,,,,0.745,,,2.9,0.065,1.3,,,,,,,,,0.3,,0.026,,Bất động sản,Công ty Cổ phần Vincom Retail
3,BVH,Q3,2019,43.6,3.4,0.081,0.011,1644,21095.0,,,,,,0.129,,,0.2,0.277,7.8,,,,,,,,,6.4,,0.021,,Bảo hiểm,Tập đoàn Bảo Việt
4,POW,Q3,2019,11.5,1.1,0.098,0.041,1069,11402,,,,,,0.445,,,1.0,0.283,2.2,,,,,,,,,1.1,,0.027,,"Điện, nước & xăng dầu khí đốt",Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP
5,GAS,Q3,2019,15.5,4.1,0.276,0.197,6351,23795,,,,,,0.728,,,3.1,-0.025,1.4,,,,,,,,,0.3,,0.021,,"Điện, nước & xăng dầu khí đốt",Tổng Công ty Khí Việt Nam - Công ty Cổ phần
6,ACB,Q3,2019,6.7,1.5,0.259,0.017,2151,9387,0.036,0.215,0.007,1.589,0.051,0.071,0.099,0.479,0.1,0.043,14.1,0.416,0.403,0.748,0.715,0.859,0.87,0.005,0.283,13.1,0.001,0.064,0.159,Ngân hàng,Ngân hàng Thương mại Cổ phần Á Châu
7,BID,Q3,2019,42.0,5.1,0.135,0.005,1425,11738,0.027,0.245,0.021,0.782,0.05,0.042,0.055,0.303,0.0,0.009,24.0,0.563,0.162,0.778,0.753,0.99,0.786,0.016,0.243,23.0,0.018,0.032,0.108,Ngân hàng,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam
8,CTG,Q3,2019,13.0,1.0,0.083,0.005,1242,15581,0.022,0.197,0.016,1.181,0.051,0.062,0.083,0.362,0.1,0.12,16.1,0.515,0.243,0.781,0.748,1.039,0.752,0.012,0.244,15.1,0.011,0.033,0.008,Ngân hàng,Ngân hàng Thương mại Cổ phần Công thương Việt Nam
9,HDB,Q3,2019,8.2,1.4,0.198,0.016,1638,9835,0.045,0.128,0.015,0.733,0.054,0.09,0.14,0.447,0.1,0.113,11.1,0.442,0.344,0.676,0.645,1.122,0.602,0.01,0.354,10.1,0.008,0.053,0.159,Ngân hàng,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh
10,MBB,Q3,2019,7.6,1.5,0.218,0.02,1943,9973,0.049,0.278,0.015,1.027,0.039,0.095,0.157,0.361,0.1,0.06,10.5,0.515,0.348,0.646,0.604,0.945,0.683,0.009,0.384,9.5,0.018,0.061,0.172,Ngân hàng,Ngân hàng Thương mại Cổ phần Quân đội
11,SHB,Q3,2019,4.5,0.6,0.138,0.007,885,6825,0.025,0.075,0.029,0.456,0.065,0.051,0.072,0.42,0.1,0.135,19.6,0.463,0.23,0.785,0.708,1.027,0.765,0.02,0.212,18.6,0.007,0.045,0.283,Ngân hàng,Ngân hàng Thương mại Cổ phần Sài Gòn – Hà Nội
12,STB,Q3,2019,6.8,0.7,0.111,0.007,1542,14542,0.026,0.272,0.02,0.705,0.053,0.058,0.09,0.585,0.1,0.28,17.2,0.311,0.192,0.742,0.645,0.727,1.021,0.013,0.265,16.2,0.007,0.029,0.146,Ngân hàng,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín
13,TCB,Q3,2019,8.8,1.4,0.172,0.027,2648,16787,0.042,0.305,0.018,0.771,0.039,0.16,0.287,0.335,0.2,0.056,6.2,0.537,0.482,0.6,0.559,0.939,0.639,0.01,0.469,5.2,0.003,0.046,0.23,Ngân hàng,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam
14,TPB,Q3,2019,11.9,2.4,0.22,0.017,1540,7529,0.042,0.265,0.015,0.801,0.046,0.077,0.128,0.371,0.1,0.069,12.9,0.503,0.32,0.667,0.604,1.086,0.615,0.009,0.344,11.9,0.01,0.056,0.259,Ngân hàng,Ngân hàng Thương mại Cổ phần Tiên Phong
